Title,Company,Location,Date,URL
Content and Social Media Manager,Stanford University,"Stanford, California",3 Months Ago,https://careers.journalists.org/jobs/11228284/content-and-social-media-manager
Writer and Media Specialist (7477U) Job 25438 - CoE/ College Relations,University of California Berkeley,"Berkeley, California",2 Months Ago,https://careers.journalists.org/jobs/11330139/writer-and-media-specialist-7477u-job-25438-coe-college-relations
Senior Product Designer,Dow Jones,"New York, New York",2 Weeks Ago,https://careers.journalists.org/jobs/11559444/senior-product-designer
Communications Associate,NABCA,"Alexandria, Virginia",4 Weeks Ago,https://careers.journalists.org/jobs/11522370/communications-associate
"Sr. Manager, Audience Engagement (15047)",American University,"Washington, D.C.",1 Month Ago,https://careers.journalists.org/jobs/11446728/sr-manager-audience-engagement-15047
College Connections Coordinator,University of Michigan - Ann Arbor,"Ann Arbor, Michigan",2 Days Ago,https://careers.journalists.org/jobs/11617041/college-connections-coordinator
Software Engineer,Confluence,"Pittsburgh, Pennsylvania",1 Week Ago,https://careers.journalists.org/jobs/11602685/software-engineer
"Tenure-Track Assistant Professor of Mass Communication - Journalism Program- commencing September 1, 2019",St. John's University,"Jamaica, New York",1 Month Ago,https://careers.journalists.org/jobs/11480672/tenure-track-assistant-professor-of-mass-communication-journalism-program-commencing-september-1-2019
Career Partnerships and Operations Coordinator,Mills College,"Oakland, California",2 Months Ago,https://careers.journalists.org/jobs/11362239/career-partnerships-and-operations-coordinator
Science & Technology Writer/ Editor,Lawrence Berkeley National Laboratory,"Berkeley, Nationwide, United States",1 Week Ago,https://careers.journalists.org/jobs/11599333/science-technology-writer-editor
Public Relations Account Executive,"Kahn Media, Inc.","Moorpark, California",3 Weeks Ago,https://careers.journalists.org/jobs/11532919/public-relations-account-executive
Digital Editor,The Salt Lake Tribune,"Salt Lake City, Utah",4 Days Ago,https://careers.journalists.org/jobs/11610492/digital-editor
"MULTI-PLATFORM EDITOR, WBUR Program & Production",Boston University,"BOSTON, Massachusetts",Yesterday,https://careers.journalists.org/jobs/11619075/multi-platform-editor-wbur-program-production
Marketing and Communications Coordinator,Association for Research in Vision and Ophthalmology,"Rockville, MD",3 Weeks Ago,https://careers.journalists.org/jobs/11551242/marketing-and-communications-coordinator
Breaking News/ Crime Reporter,PA Media Group,"Mechanicsburg, Pennsylvania",4 Weeks Ago,https://careers.journalists.org/jobs/11480151/breaking-news-crime-reporter
Public Relations Coordinator,The University of South Carolina,"Columbia, South Carolina",2 Months Ago,https://careers.journalists.org/jobs/11378015/public-relations-coordinator
"Design News Editor and Assistant Director, Communications",Harvard University Graduate School of Design,USA - MA - Cambridge,3 Months Ago,https://careers.journalists.org/jobs/11287573/design-news-editor-and-assistant-director-communications
"Reporter, Maryland (15017)",American University,"Washington, D.C.",1 Month Ago,https://careers.journalists.org/jobs/11417350/reporter-maryland-15017
"Apply to be a TruthBuzz Fellow in Raleigh, North Carolina",International Center for Journalists,"Raleigh, North Carolina",4 Weeks Ago,https://careers.journalists.org/jobs/11519091/apply-to-be-a-truthbuzz-fellow-in-raleigh-north-carolina
"Program Coordinator, THE REAL CHI",Free Spirit Media,"Chicago, Illinois",1 Week Ago,https://careers.journalists.org/jobs/11589220/program-coordinator-the-real-chi
Topics Editor,Colorado Public Radio,"Denver Metro, Colorado",3 Weeks Ago,https://careers.journalists.org/jobs/11538031/topics-editor
"Assistant Editor, The Nation’s Health",American Public Health Association,"Washington, D.C.",1 Month Ago,https://careers.journalists.org/jobs/11490194/assistant-editor-the-nation-s-health
Media Relations Specialist,Columbia University,"New York, New York",4 Months Ago,https://careers.journalists.org/jobs/11114983/media-relations-specialist
Communications Specialist,Stanford University,"Stanford, California",3 Months Ago,https://careers.journalists.org/jobs/11276544/communications-specialist
RESEARCH BIOINFORMATICS SOFTWARE ENGINEER,University of Washington,"Seattle, Washington",2 Weeks Ago,https://careers.journalists.org/jobs/11560423/research-bioinformatics-software-engineer
Bioinfo Engineer II /  Computational Research Scientist,Memorial Sloan-Kettering Cancer Center,"New York, New York",4 Weeks Ago,https://careers.journalists.org/jobs/11519834/bioinfo-engineer-ii-computational-research-scientist
Biomedical Semantic Applications Programmer,"University of California, San Diego","La Jolla, California",1 Week Ago,https://careers.journalists.org/jobs/11580441/biomedical-semantic-applications-programmer
"Care Coordinator I, Pediatrics",Memorial Sloan-Kettering Cancer Center,"New York, New York",1 Week Ago,https://careers.journalists.org/jobs/11590761/care-coordinator-i-pediatrics
"Gobo Lead Developer, Center for Civic Media",Massachusetts Institute of Technology (MIT),"Cambridge, Massachusetts",1 Month Ago,https://careers.journalists.org/jobs/11491006/gobo-lead-developer-center-for-civic-media
Programmer,Columbia University,"New York, New York",Yesterday,https://careers.journalists.org/jobs/11620937/programmer
Life Sciences Librarian,George Mason University,"Fairfax, Virginia",1 Month Ago,https://careers.journalists.org/jobs/11460030/life-sciences-librarian
Communications Specialist,Society for Neuroscience,"Washington, D.C.",4 Weeks Ago,https://careers.journalists.org/jobs/11526981/communications-specialist
Editorial Manager,Community Associations Institute (CAI),"Falls Church, Virginia",1 Week Ago,https://careers.journalists.org/jobs/11585626/editorial-manager
"Chief Communications Officer, UCLA Hammer Museum",UCLA,"Los Angeles, California",1 Year Ago,https://careers.journalists.org/jobs/10333254/chief-communications-officer-ucla-hammer-museum
Associate Professor - Critical Journalism Studies,"University of California, San Diego","La Jolla, California",4 Months Ago,https://careers.journalists.org/jobs/11163429/associate-professor-critical-journalism-studies
Assistant Professor - Critical Journalism Studies,"University of California, San Diego","La Jolla, California",3 Months Ago,https://careers.journalists.org/jobs/11241901/assistant-professor-critical-journalism-studies
Bioinfo. Software Eng I,Memorial Sloan-Kettering Cancer Center,"New York, New York",4 Months Ago,https://careers.journalists.org/jobs/11180301/bioinfo-software-eng-i
Bioinfo Software Engineer II,Memorial Sloan-Kettering Cancer Center,"New York, New York",3 Months Ago,https://careers.journalists.org/jobs/11221560/bioinfo-software-engineer-ii
"Manager, Research",Campaign for Tobacco-Free Kids,"Washingotn, D.C.",2 Days Ago,https://careers.journalists.org/jobs/11618088/manager-research
SOFTWARE DEVELOPER (SENIOR COMPUTER SPECIALIST),University of Washington,"Seattle, Washington",10 Months Ago,https://careers.journalists.org/jobs/10516446/software-developer-senior-computer-specialist
Director of External Programming (Academic Coord II)  Institute of Governmental Studies (IGS),University of California Berkeley,"Berkeley, California",3 Weeks Ago,https://careers.journalists.org/jobs/11542425/director-of-external-programming-academic-coord-ii-institute-of-governmental-studies-igs
Lead Product Manager – Audience,McClatchy,"Raleigh, North Carolina",4 Weeks Ago,https://careers.journalists.org/jobs/11518578/lead-product-manager-audience
"Application Specialist (SQL, JavaScript, Web Development, C#, HURON, ERA)",Memorial Sloan-Kettering Cancer Center,"New York, New York",3 Months Ago,https://careers.journalists.org/jobs/11257293/application-specialist-sql-javascript-web-development-c-huron-era
Teaching Assistant Professor in Interactive Design for Media,West Virginia University,"Morgantown, West Virginia",1 Week Ago,https://careers.journalists.org/jobs/11602507/teaching-assistant-professor-in-interactive-design-for-media
"Reporter, Virginia (15016)",American University,"Washington, D.C.",2 Months Ago,https://careers.journalists.org/jobs/11408834/reporter-virginia-15016
"Specialist, Communications","University of Nevada, Reno","Reno, Nevada",4 Weeks Ago,https://careers.journalists.org/jobs/11523278/specialist-communications
Communications & Volunteer Program Coordinator,Mills College,"Oakland, California",1 Month Ago,https://careers.journalists.org/jobs/11483285/communications-volunteer-program-coordinator
Assistant Professor in Emerging Media and Digital Journalism (Tenure-Track),University of Miami,"Coral Gables, Florida",4 Weeks Ago,https://careers.journalists.org/jobs/11519039/assistant-professor-in-emerging-media-and-digital-journalism-tenure-track
"Associate Director, Analytics",Massachusetts Institute of Technology (MIT),"Cambridge, Massachusetts",3 Weeks Ago,https://careers.journalists.org/jobs/11548317/associate-director-analytics
Senior Product Manager,S&P Global,"London, United Kingdom",2 Weeks Ago,https://careers.journalists.org/jobs/11561078/senior-product-manager
"Machine Learning Scientist, Digital & Computational Pathology",Memorial Sloan-Kettering Cancer Center,"New York, New York",1 Month Ago,https://careers.journalists.org/jobs/11447562/machine-learning-scientist-digital-computational-pathology
"Open Rank /  Professor of Computer Sci., Computer Engr., or Electrical Engr., Tenure Track or Tenured",Chapman University,"Orange, California",1 Month Ago,https://careers.journalists.org/jobs/11452788/open-rank-professor-of-computer-sci-computer-engr-or-electrical-engr-tenure-track-or-tenured
"Open Rank Instructor/ Professor of Computer Sci., Computer Engr., or Electrical Engr., Fall 2019",Chapman University,"Orange, California",1 Month Ago,https://careers.journalists.org/jobs/11452789/open-rank-instructor-professor-of-computer-sci-computer-engr-or-electrical-engr-fall-2019
"Manager, Web and Digital Design",Columbia University,"Texas, New York, New York",3 Weeks Ago,https://careers.journalists.org/jobs/11551165/manager-web-and-digital-design
Software Engineer,Memorial Sloan-Kettering Cancer Center,"New York, New York",1 Week Ago,https://careers.journalists.org/jobs/11577782/software-engineer
Bioinformatics Software Engineer I,Memorial Sloan-Kettering Cancer Center,"New York, Central Tampa",3 Weeks Ago,https://careers.journalists.org/jobs/11544126/bioinformatics-software-engineer-i
Asst Dir Assess Resrch & Ren,East Carolina University,"Greenville, North Carolina",3 Months Ago,https://careers.journalists.org/jobs/11297166/asst-dir-assess-resrch-ren
Computational Biologist Sr II,Memorial Sloan-Kettering Cancer Center,"New York, New York",3 Months Ago,https://careers.journalists.org/jobs/11257270/computational-biologist-sr-ii
Communications Manager,Harvard University Kennedy School,USA - MA - Cambridge,3 Days Ago,https://careers.journalists.org/jobs/11611080/communications-manager
"Manager, Membership Services & Operations",Trustworthy Accountability Group,"New York, NY",2 Weeks Ago,https://careers.journalists.org/jobs/11559546/manager-membership-services-operations
Web Content Manager,Converse College,"Spartanburg, South Carolina",1 Month Ago,https://careers.journalists.org/jobs/11420564/web-content-manager
"Assistant Director, Admissions and Marketing",Columbia University,"New York, New York",1 Month Ago,https://careers.journalists.org/jobs/11445913/assistant-director-admissions-and-marketing
Advancement Communications Assistant,Carrollton School of the Sacred Heart,Florida,3 Days Ago,https://careers.journalists.org/jobs/11613464/advancement-communications-assistant
Director of Marketing & Communications,Northeastern University,"Boston, Massachusetts",3 Months Ago,https://careers.journalists.org/jobs/11272125/director-of-marketing-communications
Term Assistant Professor,George Mason University,"Fairfax, Virginia",1 Month Ago,https://careers.journalists.org/jobs/11506908/term-assistant-professor
Senior Research Analyst /  Research Analyst,Brown University,"Nationwide, United States",2 Months Ago,https://careers.journalists.org/jobs/11359212/senior-research-analyst-research-analyst
Director,Texas A&M University,"College Station, Texas",2 Weeks Ago,https://careers.journalists.org/jobs/11564389/director
PUBLICATIONS MARKETING COORDINATOR,AACC INTERNATIONAL INC,"Eagan, Minnesota",2 Weeks Ago,https://careers.journalists.org/jobs/11563341/publications-marketing-coordinator
Associate Director for Annual Giving,Loyola Marymount University,"Los Angeles, California",7 Months Ago,https://careers.journalists.org/jobs/10868103/associate-director-for-annual-giving
Public Affairs Communications Specialist,Bravarro Communications,Austin,3 Weeks Ago,https://careers.journalists.org/jobs/11547228/public-affairs-communications-specialist
Assistant Director Alumnae/ i Relations - Simmons College,37742,"Boston, Massachusetts",2 Months Ago,https://careers.journalists.org/jobs/11327437/assistant-director-alumnae-i-relations-simmons-college
Knight Chair in Digital Advertising and Social Media,The University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",1 Week Ago,https://careers.journalists.org/jobs/11593603/knight-chair-in-digital-advertising-and-social-media
Senior Site Reliability Engineer - DevOps,CBRE,"Memphis,",1 Month Ago,https://careers.journalists.org/jobs/11415016/senior-site-reliability-engineer-devops
Principal Software Engineer (Backend),CBRE,"Memphis,",1 Month Ago,https://careers.journalists.org/jobs/11415046/principal-software-engineer-backend
Research Project Coordinator - International Center for Child Health and Development - 42042,Washington University in St. Louis,"St. Louis, Missouri",Yesterday,https://careers.journalists.org/jobs/11620921/research-project-coordinator-international-center-for-child-health-and-development-42042
Digital Content Editor,National Association of Manufacturers,"Washington, D.C.",2 Months Ago,https://careers.journalists.org/jobs/11378291/digital-content-editor
"Marketing Director, Annapolis, MD",Trademark Property Company,"Annapolis, Maryland",3 Weeks Ago,https://careers.journalists.org/jobs/11538288/marketing-director-annapolis-md
Legal Staff Recruiting Coordinator,Ogletree Deakins Law Firm,"Indianapolis, Indiana",3 Weeks Ago,https://careers.journalists.org/jobs/11543377/legal-staff-recruiting-coordinator
"Manager, Marketing",Texas A&M University,"College Station, Texas",2 Weeks Ago,https://careers.journalists.org/jobs/11564392/manager-marketing
"Back End Software Engineer, Digital & Computational Pathology",Memorial Sloan-Kettering Cancer Center,"New York, New York",2 Months Ago,https://careers.journalists.org/jobs/11346402/back-end-software-engineer-digital-computational-pathology
"Associate Director, Multimedia Producer",Bentley University,"Waltham, Massachusetts",1 Week Ago,https://careers.journalists.org/jobs/11597480/associate-director-multimedia-producer
Computational Biology Postdoctoral Scholar,Lawrence Berkeley National Laboratory,"Berkeley, Nationwide, United States",5 Months Ago,https://careers.journalists.org/jobs/11049166/computational-biology-postdoctoral-scholar
DIGITAL MARKETING SPECIALIST FT SCOTTSDALE HONORHEALTH,HonorHealth,"Scottsdale, Arizona",2 Weeks Ago,https://careers.journalists.org/jobs/11566237/digital-marketing-specialist-ft-scottsdale-honorhealth
Temporary Game Operations,Western Washington University,WA,2 Months Ago,https://careers.journalists.org/jobs/11366723/temporary-game-operations
"Front End Software Engineer, Digital & Computational Pathology",Memorial Sloan-Kettering Cancer Center,"New York, New York",2 Months Ago,https://careers.journalists.org/jobs/11346401/front-end-software-engineer-digital-computational-pathology
"Director, Digital Strategy (0404)",University of California Office of the President,"Oakland, California",1 Week Ago,https://careers.journalists.org/jobs/11598079/director-digital-strategy-0404
"Assistant Vice President, Institutional Advancement",Ramapo College,"Mahwah, New Jersey",2 Weeks Ago,https://careers.journalists.org/jobs/11560086/assistant-vice-president-institutional-advancement
"Nutrition Program Educator - Canton, NY",Cornell University,"Canton, New York",5 Days Ago,https://careers.journalists.org/jobs/11606321/nutrition-program-educator-canton-ny
Recreation Supervisor,Town of Berthoud,"Berthoud, Colorado",4 Weeks Ago,https://careers.journalists.org/jobs/11527140/recreation-supervisor
Social Marketing and SNAP Ed Nutritionist- Ithaca NY,Cornell University,"Ithaca, New York",1 Week Ago,https://careers.journalists.org/jobs/11590848/social-marketing-and-snap-ed-nutritionist-ithaca-ny
Lecturer- Computer Science,Clemson University,"Clemson, South Carolina",3 Weeks Ago,https://careers.journalists.org/jobs/11543601/lecturer-computer-science
Faculty Positions in Computer Science,Clemson University,"Clemson, South Carolina",2 Weeks Ago,https://careers.journalists.org/jobs/11572517/faculty-positions-in-computer-science
"Videographer, Student Part-Time, Undergraduate",Indiana University,"., Indiana",3 Weeks Ago,https://careers.journalists.org/jobs/11542329/videographer-student-part-time-undergraduate
"Open Rank - Professor of Commerce, General Faculty (Management Communications Area)",University of Virginia,"Charlottesville, Virginia",1 Month Ago,https://careers.journalists.org/jobs/11466047/open-rank-professor-of-commerce-general-faculty-management-communications-area
IT Procurement Contract Manager,Memorial Sloan-Kettering Cancer Center,"New York, New York",4 Months Ago,https://careers.journalists.org/jobs/11136490/it-procurement-contract-manager
Senior Marketing and Recruitment Specialist - UMB Graduate School,"University of Maryland, Baltimore","Baltimore, Maryland",1 Month Ago,https://careers.journalists.org/jobs/11452754/senior-marketing-and-recruitment-specialist-umb-graduate-school
Sales and Marketing Assistant - The EDGE,George Mason University,"Fairfax, Virginia",1 Month Ago,https://careers.journalists.org/jobs/11470582/sales-and-marketing-assistant-the-edge
Health Professions Advising Coordinator,George Mason University,"Fairfax, Virginia",2 Days Ago,https://careers.journalists.org/jobs/11617061/health-professions-advising-coordinator
"Work Readiness Educator - Binghamton, NY",Cornell University,"Binghamton, New York",5 Days Ago,https://careers.journalists.org/jobs/11606319/work-readiness-educator-binghamton-ny
Admin Services Coordinator,University of Iowa,"Iowa City, Iowa",1 Week Ago,https://careers.journalists.org/jobs/11601458/admin-services-coordinator
Associate Sports Information Director & Athletic Social Media Coordinator,Marist College,"Poughkeepsie, New York",1 Week Ago,https://careers.journalists.org/jobs/11589589/associate-sports-information-director-athletic-social-media-coordinator
